"m",1999,42.138817220620226,19767,4195
"m",2011,44.137681359679426,36185,12685
"m",1998,42.190489130434784,18400,3986
"m",2007,42.678902602801045,31274,8299
"m",2010,43.917194063287596,35710,11925
"m",2015,46.893409814365405,31729,12030
"m",1993,43.24590709436976,15026,3012
"m",2006,42.14125589508366,30958,7885
"m",2009,42.92926001723395,37136,11290
"m",1997,42.82197911486823,18099,3833
"m",2014,46.4130041104947,34789,13138
"m",2012,45.12475464079412,35662,12939
"m",1996,42.45263541413651,16468,3395
"m",2003,42.2939804819069,23158,5644
"m",1971,41.680512107519405,17262,3049
"m",1978,43.18456095207462,15545,2841
"m",1975,43.3926277053577,16033,2862
"m",1977,43.65270703640822,15903,2782
"m",1960,39.698850723978964,15401,2333
"m",1958,39.333136753816916,15261,2230
"m",2013,45.63091815781754,34090,12781
"m",2005,41.79034888668274,28204,7459
"m",2008,43.126468741591175,33447,9611
"m",2004,41.942457968269004,25338,6625
"m",2002,41.91276193902329,22238,5265
"m",1985,43.14010419935974,15931,3078
"m",1938,29.83299110198494,8766,1832
"m",1946,35.354910714285715,8064,1347
"m",1933,26.529277349328762,3501,1375
"m",1948,36.06195040015809,10121,1599
"m",1932,25.54088860270444,3106,1306
"m",1953,38.085962473940235,14390,1992
"m",1942,32.68379602283914,10158,1583
"m",1956,39.13394829154216,15394,2211
"m",1976,43.35840843602477,16311,2852
"m",1941,32.02547770700637,9263,1594
"m",1939,30.418465227817745,9174,1780
"m",1962,40.079818004549885,15385,2445
"m",1954,38.23715270141485,13641,2065
"m",1944,33.97042079207921,8080,1290
"m",1995,42.6895008822788,15868,3296
"m",1955,38.64860907759883,14343,2087
"m",1951,37.52530933633296,13335,1799
"m",1963,40.398238482384826,14760,2378
"m",1952,37.93375484983475,13918,1898
"m",2001,41.428098170959316,21432,4845
"m",1994,43.20017319477751,15012,3174
"m",1990,43.600074358656585,16138,3358
"m",1945,34.83566291219976,7369,1237
"m",1949,36.699279711884756,11662,1772
"m",1984,43.48350197976243,15911,3033
"m",1980,43.64058246280469,15795,2844
"m",1970,41.54758792775665,16832,3090
"m",1986,43.19386745796241,16176,3108
"m",1981,43.38999008919723,16144,2932
"m",1950,37.180823472199705,12338,1797
"m",1940,31.411506910888864,8899,1667
"m",1961,39.888917709616756,15421,2426
"m",1947,35.60643591728409,9043,1445
"m",1943,33.435634937922025,9182,1439
"m",1966,41.10530492643917,16381,2808
"m",2000,41.9182249925794,20214,4558
"m",1982,43.78524339082373,15017,2839
"m",1987,43.34639076610251,16721,3180
"m",1991,43.9203390927328,15453,3056
"m",1969,41.34403804379733,17033,3031
"m",1983,43.69397621016475,15721,2948
"m",1979,43.39773073872995,16393,2939
"m",1968,41.00931535032575,17498,3063
"m",1988,43.5538879697471,16924,3216
"m",1989,43.32452542770096,17068,3285
"m",1957,39.39328978245703,15767,2295
"m",1973,42.50765043846386,16535,2935
"m",1964,40.61670838548185,15980,2645
"m",1974,42.90284746992322,16541,2947
"m",1967,40.876817792985456,16366,2853
"m",1965,40.72620234238724,16052,2730
"m",1972,41.96848536172272,16532,2971
"m",1992,43.54690499834492,15105,3119
"m",1959,39.61282516636419,14877,2256
"m",1937,29.059318790662076,7839,1857
"m",1935,28.002160994057267,5553,1608
"m",1934,27.098937583001327,4518,1527
"m",1936,28.415271966527197,6692,1752
"m",1928,21.700721153846153,1664,1033
"m",1929,21.924508240297715,1881,995
"m",1927,19.904893177119227,1451,948
"m",1930,23.31639839034205,1988,1018
"m",1920,12.862464183381089,349,296
"m",1931,24.446765769385294,2489,1230
"m",1923,15.036927621861151,677,434
"m",1926,19.57242582897033,1146,744
"m",1925,18.914110429447852,1141,777
"m",1924,16.891951488423373,907,623
"m",1921,14.141274238227147,361,309
"m",1922,14.399150743099788,471,350
"f",2008,37.10862198795181,15936,6331
"f",2010,37.94109473175447,16552,7442
"f",2003,36.32576793364324,10971,4023
"f",1959,32.23948540326571,6063,1908
"f",1951,30.90487514863258,5046,1534
"f",1958,32.49044689119171,6176,1893
"f",1955,31.82052622408085,5739,1759
"f",2013,39.542936117936115,16280,8056
"f",2011,38.10208138447147,17104,8019
"f",2014,40.547043826635914,16474,8188
"f",2015,41.17876397107166,15210,7594
"f",1930,22.837478559176674,2332,1231
"f",1988,36.64157484214436,8077,2605
"f",1992,37.35474094385914,6929,2453
"f",1990,36.10861374561517,7697,2754
"f",1978,36.48826436071649,6476,2246
"f",2004,36.09287345075016,12264,4644
"f",2002,36.47898926323584,10804,3885
"f",2000,36.48878614991147,10166,3506
"f",1950,30.886024712398807,4694,1529
"f",1979,36.39141965678627,6410,2243
"f",1986,35.96499053798324,7398,2500
"f",1985,35.870469232930596,7118,2487
"f",1991,37.83311546840959,6885,2421
"f",1996,36.64922225151595,7586,2571
"f",2012,39.24793989335919,16504,7842
"f",1997,36.222632794457276,8660,2953
"f",1993,37.58030103755663,6843,2370
"f",1981,36.7115804806992,6865,2302
"f",1984,36.83694601684385,7243,2437
"f",1982,36.87442413434388,6729,2264
"f",1983,36.99767374236697,6878,2347
"f",1999,36.624433456942725,9708,3208
"f",1969,33.85791418016482,7038,2380
"f",1973,35.00829680651221,6388,2273
"f",1980,36.972739663789184,6603,2258
"f",2009,37.00470993681792,17410,7260
"f",1995,36.45987570926776,7402,2496
"f",2001,35.923729621508244,10489,3672
"f",1987,36.49557176348007,7678,2598
"f",1989,35.84599024146128,7993,2694
"f",2006,36.31055858769625,14841,5434
"f",2005,36.216360968451944,13630,5145
"f",2007,36.83505291005291,15120,5598
"f",1994,37.23840485478977,6921,2486
"f",1998,36.20398912058024,8824,2981
"f",1947,29.44035704625372,3697,1194
"f",1949,30.348478164975738,4534,1473
"f",1948,30.127231581594167,3977,1314
"f",1943,27.727183992191314,4098,1217
"f",1952,31.14741784037559,5325,1596
"f",1954,31.763886375972497,5527,1706
"f",1960,32.69104381443299,6208,1968
"f",1957,32.19319987289482,6294,1916
"f",1956,32.52595650103191,6299,1847
"f",1953,31.455060155697097,5652,1688
"f",1961,32.75176194205169,6385,2011
"f",1942,27.20019111323459,4186,1344
"f",1941,27.01961722488038,4180,1310
"f",1971,34.30822421656613,6797,2422
"f",1963,33.093039165383956,5847,1905
"f",1965,32.81740669240669,6216,2092
"f",1977,36.89709480122324,6540,2189
"f",1970,34.173074090440416,6789,2477
"f",1964,32.94893280632411,6325,2081
"f",1976,36.43152639087018,7010,2340
"f",1945,28.450222882615154,3365,987
"f",1966,33.04900744416874,6448,2261
"f",1933,24.026977872082448,3299,1487
"f",1935,24.69995105237396,4086,1570
"f",1934,24.244857982370224,4084,1576
"f",1972,34.700919089950276,6637,2406
"f",1974,35.693622035645895,6789,2288
"f",1962,33.34403372243839,6168,2024
"f",1946,28.818877551020407,3528,1121
"f",1975,36.221181020377806,6723,2297
"f",1940,26.588320463320464,4144,1421
"f",1936,24.969796300632172,4271,1634
"f",1938,25.57947818460864,4561,1599
"f",1939,26.29322073657049,4263,1462
"f",1937,25.182264857276557,4274,1597
"f",1923,18.341232227488153,1055,788
"f",1929,22.177135110709443,2213,1303
"f",1927,21.114017769002963,2026,1334
"f",1968,33.290453317322125,6662,2443
"f",1967,33.00447945628669,6474,2300
"f",1926,20.455967555040555,1726,1195
"f",1931,23.153348554033485,2628,1358
"f",1944,27.913522012578618,3816,1063
"f",1932,23.522765598650928,2965,1476
"f",1928,21.838369304556355,2085,1309
"f",1922,17.61214953271028,856,708
"f",1924,18.784415584415584,1540,1123
"f",1925,20.001617250673853,1855,1261
"f",1920,16.470338983050848,708,610
"f",1921,16.949877750611247,818,674
